Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Germany;DEU;1,76497E+12;1,86187E+12;2,12313E+12;2,06856E+12;2,20597E+12;2,59162E+12;2,50367E+12;2,21869E+12;2,24323E+12;2,19996E+12;1,94995E+12;1,95065E+12;2,07914E+12;2,50573E+12;2,81925E+12;2,86141E+12;3,00245E+12;3,43995E+12;3,75237E+12;3,41801E+12;3,41709E+12;3,7577E+12;3,54398E+12;3,75251E+12;3,89061E+12;3,37561E+12;3,4778E+12
Djibouti;DJI;452328087;462421999;478058305;466048469;491689221;497723961;494004648;502675542;514267869;536080148;551230862;572417441;591122040;622044666;666072102;708633195;768873684;847918929;999105339;1049110685;1128611700;1239144502;1353632942;1455000000;1588000000;1727000000;
Dominica;DMA;166322222;180437037;191759259;200418519;215459259;224037037;236444444;245781481;258440741;267740741;335845815;343119370;337695741;350091222;374771481;370370370;390370370;421375852;458190185;489074333;493824407;501025303;485997988;501979277;523666347;535095846;581484032
Denmark;DNK;1,38247E+11;1,39225E+11;1,52916E+11;1,43196E+11;1,56162E+11;1,85007E+11;1,87632E+11;1,73538E+11;1,76992E+11;1,77965E+11;1,64159E+11;1,64791E+11;1,78635E+11;2,18096E+11;2,51373E+11;2,64467E+11;2,82885E+11;3,19423E+11;3,53361E+11;3,21241E+11;3,21995E+11;3,44003E+11;3,27149E+11;3,43584E+11;3,52994E+11;3,01298E+11;3,069E+11
Dominican Republic;DOM;7073674721;9724402004;11277676880;12976408000;14511134921;16358496124;18131813001;19593869595;21171523985;21709726722;23996063503;24892521237;26571620979;21277165886;22039232610;34004033804;35952845583;44169678153;48288967303;48376555306;53954579004;57746684847;60613645121;61965942057;65231032303;68102618092;71583553488
Algeria;DZA;62045099643;45715367087;48003298223;49946455211;42542571306;41764052458;46941496780;48177862502;48187747529;48640574567;54790245601;54744714396;56760288974;67863829880;85324998814;1,03198E+11;1,17027E+11;1,34977E+11;1,71001E+11;1,37211E+11;1,61207E+11;2,00019E+11;2,09059E+11;2,09755E+11;2,1381E+11;1,65874E+11;1,59049E+11
East Asia & Pacific (excluding high income);EAP;6,69863E+11;7,27077E+11;8,14593E+11;8,95435E+11;1,07628E+12;1,32735E+12;1,52428E+12;1,57756E+12;1,43922E+12;1,58543E+12;1,74577E+12;1,85646E+12;2,05587E+12;2,32784E+12;2,69813E+12;3,12426E+12;3,76369E+12;4,75841E+12;6,02092E+12;6,53155E+12;7,87933E+12;9,6307E+12;1,07442E+13;1,18608E+13;1,27541E+13;1,32682E+13;1,35124E+13
Early-demographic dividend;EAR;1,8199E+12;1,92892E+12;2,11636E+12;2,32286E+12;2,43216E+12;2,48255E+12;2,70949E+12;2,89319E+12;2,8463E+12;3,01987E+12;3,27588E+12;3,23501E+12;3,14422E+12;3,51615E+12;4,09011E+12;4,76762E+12;5,4623E+12;6,48882E+12;7,3175E+12;7,04591E+12;8,51432E+12;9,56493E+12;9,97441E+12;1,01607E+13;1,05299E+13;1,0195E+13;1,0402E+13
East Asia & Pacific;EAS;4,747E+12;5,34505E+12;5,83576E+12;6,55248E+12;7,31362E+12;8,31031E+12;8,00859E+12;7,66299E+12;6,86396E+12;7,66532E+12;8,29188E+12;7,71293E+12;7,83707E+12;8,61738E+12;9,66371E+12;1,03113E+13;1,09397E+13;1,2237E+13;1,41341E+13;1,45645E+13;1,69388E+13;1,96387E+13;2,10191E+13;2,12625E+13;2,19E+13;2,17669E+13;2,24804E+13
Europe & Central Asia (excluding high income);ECA;9,60439E+11;9,26765E+11;8,53278E+11;8,38261E+11;7,27687E+11;7,76931E+11;7,87852E+11;8,20132E+11;7,71872E+11;6,5045E+11;7,20049E+11;7,17063E+11;8,20431E+11;1,03751E+12;1,3676E+12;1,72646E+12;2,11432E+12;2,72765E+12;3,37233E+12;2,65525E+12;3,15626E+12;3,89187E+12;4,11101E+12;4,36924E+12;4,07885E+12;3,12118E+12;2,99182E+12
